                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3068,                 1.2516,                 1.3747,                0.68966,                0.58233,                0.66432,                0.38636,                 1.1343,                0.93503,                  1.234,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.2917,                 1.2458,                 1.3767,                0.68347,                0.59329,                0.66283,                 0.3888,                 1.1083,                0.93034,                 1.2185,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.2858,                 1.2306,                  1.374,                0.70465,                0.59415,                0.66495,                0.40657,                 1.1036,                0.91634,                 1.2213,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.2963,                 1.2337,                 1.3715,                0.69252,                0.59994,                0.66723,                0.40311,                 1.0934,                0.90739,                 1.2117,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2587,                 1.2107,                 1.3542,                0.69098,                0.59074,                0.67333,                0.40547,                 1.0917,                0.90208,                 1.2196,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2781,                 1.2091,                 1.3623,                0.69143,                0.60424,                0.67278,                0.40376,                 1.0851,                0.88631,                 1.2051,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.2608,                 1.2006,                 1.3482,                0.70389,                0.58059,                0.66976,                 0.4113,                 1.0784,                 0.8739,                 1.1984,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.2703,                 1.1953,                 1.3521,                0.72491,                 0.5911,                0.67682,                 0.4109,                 1.0721,                0.86563,                  1.189,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.253,                 1.1609,                 1.3329,                0.75185,                 0.5909,                0.69554,                0.43426,                 1.0572,                0.85069,                 1.1784,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.2543,                 1.1777,                 1.3416,                0.69988,                0.59845,                0.66376,                0.40234,                  1.065,                0.85045,                 1.1847,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2392,                 1.1564,                 1.3357,                0.74325,                0.61725,                0.69571,                0.41897,                 1.0697,                0.85067,                 1.1918,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2441,                 1.1552,                 1.3268,                0.75205,                0.62367,                 0.7077,                0.42985,                 1.0562,                0.84061,                 1.1798,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2352,                 1.1431,                 1.3305,                0.73991,                0.62109,                0.72314,                0.45022,                 1.0368,                0.81536,                 1.1674,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2206,                 1.1319,                 1.3155,                0.72021,                0.60734,                0.70374,                0.44637,                 1.0169,                0.81951,                 1.1606,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2127,                 1.1267,                 1.3082,                0.75768,                0.63378,                0.72088,                0.44385,                 1.0237,                0.79802,                  1.156,             0.00089134,             0.00089134,             0.00089134
